"date","startet","visitorneutral","vispts","homeneutral","homepts","finish","note","v_win","v_lose","h_win","h_lose","v_btb","h_btb","weekend","v_fg","v_3p","v_ft","v_foul","v_tov","h_fg","h_3p","h_ft","h_foul","h_tov","attend","count","capacity","odds","v_fta","h_fta","_merge","eventdate","gamedate","month","occ","homemargin","att1000","homewin","logatt","fandum","pf","_est_est1","_est_est2","_est_est3","_est_est4","_est_est5","_est_est6"
"Fri, Apr 16, 2021","7:30p","Charlotte Hornets",115,"Brooklyn Nets",130,"reg","regsea",27,27,37,18,0,0,1,0.529999971389771,0.352999985218048,0.75,18,19,0.552999973297119,0.512000024318695,0.938000023365021,17,18,1773,1,17732,-12,20,16,3,"Apr 16, 2021",2021-04-16,4,0.0999887213110924,15,1.77300000190735,1,7.48099231719971,1,0,1,1,1,1,1,1
"Fri, Apr 16, 2021","8:00p","Memphis Grizzlies",126,"Chicago Bulls",115,"reg","regsea",27,26,22,32,0,0,1,0.523000001907349,0.425000011920929,0.791999995708466,17,5,0.46900001168251,0.381999999284744,0.800000011920929,20,11,0,1,20917,3.5,24,15,3,"Apr 16, 2021",2021-04-16,4,0,-11,0,0,0,0,0,1,1,1,1,1,1
"Fri, Apr 16, 2021","9:30p","New York Knicks",117,"Dallas Mavericks",109,"reg","regsea",29,27,30,24,0,0,1,0.512000024318695,0.5,0.71399998664856,20,9,0.439999997615814,0.333000004291534,0.736999988555908,17,9,4246,1,19200,-6,21,19,3,"Apr 16, 2021",2021-04-16,4,0.221145838499069,-8,4.24599981307983,0,8.35396766662598,1,0,1,1,1,1,1,1
"Fri, Apr 16, 2021","7:00p","Oklahoma City Thunder",104,"Detroit Pistons",110,"reg","regsea",20,25,16,39,0,0,1,0.40200001001358,0.179000005125999,0.731000006198883,23,21,0.421999990940094,0.28600001335144,0.705999970436096,24,18,750,1,20332,-3,26,34,3,"Apr 16, 2021",2021-04-16,4,0.036887664347887,6,0.75,1,6.62140560150146,1,0,1,1,1,1,1,1
"Fri, Apr 16, 2021","8:00p","Denver Nuggets",128,"Houston Rockets",99,"reg","regsea",35,20,14,41,0,0,1,0.488999992609024,0.28999999165535,0.870999991893768,15,9,0.44200000166893,0.314000010490417,0.666999995708466,19,14,3342,1,18055,9,31,18,3,"Apr 16, 2021",2021-04-16,4,0.185101076960564,-29,3.34200000762939,0,8.1146240234375,1,0,1,1,1,1,1,1
"Fri, Apr 16, 2021","8:00p","Miami Heat",111,"Minnesota Timberwolves",119,"reg","regsea",28,27,14,42,0,0,1,0.488000005483627,0.412000000476837,0.731000006198883,28,14,0.518999993801117,0.416999995708466,0.689999997615814,22,17,1638,1,18978,7,26,29,3,"Apr 16, 2021",2021-04-16,4,0.0863104611635208,8,1.63800001144409,1,7.40184164047241,1,0,1,1,1,1,1,1
"Fri, Apr 16, 2021","7:00p","Los Angeles Clippers",103,"Philadelphia 76ers",106,"reg","regsea",39,18,38,17,0,0,1,0.45100000500679,0.486999988555908,0.625,26,19,0.421999990940094,0.317999988794327,0.732999980449677,19,12,4094,1,20155,-4.5,16,30,3,"Apr 16, 2021",2021-04-16,4,0.203125774860382,3,4.0939998626709,1,8.3175220489502,1,0,1,1,1,1,1,1
"Fri, Apr 16, 2021","8:30p","Portland Trail Blazers",107,"San Antonio Spurs",106,"reg","regsea",31,23,26,27,0,0,1,0.460999995470047,0.379000008106232,0.875,12,11,0.474000006914139,0.303999990224838,0.899999976158142,14,14,4303,1,18418,-1.5,16,10,3,"Apr 16, 2021",2021-04-16,4,0.233630150556564,-1,4.30299997329712,0,8.36730003356934,1,0,1,1,1,1,1,1
"Fri, Apr 16, 2021","3:00p","Indiana Pacers",111,"Utah Jazz",119,"reg","regsea",26,28,41,14,0,0,1,0.389999985694885,0.333000004291534,0.940999984741211,19,10,0.483000010251999,0.381000012159348,0.791999995708466,19,20,5546,1,18306,-10.5,17,24,3,"Apr 16, 2021",2021-04-16,4,0.302960783243179,8,5.5460000038147,1,8.62101268768311,1,0,1,1,1,1,1,1
"Fri, Apr 16, 2021","7:00p","New Orleans Pelicans",115,"Washington Wizards",117,"OT","regsea",25,30,21,33,0,0,1,0.412000000476837,0.25,0.84799998998642,22,15,0.46900001168251,0.148000001907349,0.718999981880188,24,13,0,1,20362,3,33,32,3,"Apr 16, 2021",2021-04-16,4,0,2,0,1,0,0,0,1,1,1,1,1,1
"Fri, Apr 2, 2021","7:30p","Houston Rockets",102,"Boston Celtics",118,"reg","regsea",13,34,23,25,0,0,1,0.430000007152557,0.333000004291534,0.615000009536743,11,12,0.523000001907349,0.41499999165535,0.75,22,13,0,1,18624,-12,26,12,3,"Apr 2, 2021",2021-04-02,4,0,16,0,1,0,0,0,1,1,1,1,1,1
